1421.80, -54.80
1408.60, -55.60
1395.20, -56.20
1384.80, -55.60
1375.80, -55.40
1371.00, -55.00
1368.60, -54.60
1367.00, -54.40
1366.20, -54.00
1365.80, -53.80
1365.60, -53.60
1365.40, -53.60
1365.20, -53.40
1365.00, -52.80
1365.60, -52.00
1367.60, -50.20
1371.20, -47.80
1373.40, -45.80
1374.20, -45.40
1376.20, -42.80
1379.20, -39.60
1383.40, -35.20
1389.60, -30.20
1398.60, -25.20
1405.80, -23.00
1414.40, -22.00
1421.20, -21.60
1426.20, -21.60
1431.00, -21.40
1436.80, -21.00
1439.80, -20.60
1445.80, -19.80
1447.00, -19.60
1450.60, -19.00
1455.60, -18.20
1462.60, -15.60
1472.00, -12.40
1489.80, -5.60
1500.80, -1.60
1508.40, 0.60
1515.00, 2.00
1521.80, 3.00
1531.00, 4.40
1539.20, 6.40
1546.20, 9.00
1550.60, 10.80
1552.60, 12.20
1552.80, 14.40
1552.40, 15.00
1552.00, 15.40
1552.00, 15.60
1551.60, 17.40
1551.40, 17.80
1554.40, 16.80
1560.80, 14.60
1580.20, 7.80
1600.80, 3.00
1623.80, 1.20
1634.00, 0.60
1640.60, 0.20
1648.80, -0.20
1650.40, -0.20
1654.80, -0.20
1655.40, -0.20
1655.40, 0.00
1653.60, 0.40
1647.00, 1.40
1638.00, 2.60
1627.40, 3.40
1612.60, 4.40
1599.20, 5.00
1581.20, 5.80
1565.80, 7.20
1546.40, 8.80
1532.60, 10.20
1521.00, 11.00
1510.80, 11.80
1504.60, 12.80
1499.20, 12.80
1498.40, 12.80
1495.80, 12.60
1494.20, 12.60
1493.60, 12.40
1493.80, 12.20
1494.20, 11.80
1494.20, 11.60
1494.20, 11.20
1494.20, 10.80
1494.20, 10.40
1494.00, 10.20
1494.40, 10.00
1494.80, 9.80
1494.80, 9.60
1495.00, 9.60
1495.20, 9.40
1495.40, 9.40
1495.60, 9.20
1495.80, 9.20
1495.80, 9.00
1496.00, 9.00
1496.20, 8.80
1496.40, 8.80
1496.60, 8.60
1496.80, 8.60
1497.20, 8.40
1497.40, 8.40
1497.60, 8.20
1497.80, 8.20
1498.00, 8.00
1498.20, 8.00
